Description,Item Type,Janelia Part #,Manufacturer,Manufacturer Part #,Vendor,Vendor Part #,Quantity Per SubAssy
,,,,,,,
NP2 FIBER SPACER BLOCK,CUSTOM MACHINED,J010039,,,,,1
NP2 FC CLAMP,CUSTOM MACHINED,J010040,,,,,1
NP2 FIBER MOUNT INDICATOR,CUSTOM MACHINED,J010042,,,,,1
NP2 FC SLIDE,CUSTOM MACHINED,J010043,,,,,1
NP2 POE HANDLE C ,CUSTOM MACHINED,J009927A,,,,,1
NP2 POE CABLE COVER,CUSTOM LASER CUT,J009976,,,,,1
NP2 PROBE MOD LATCH,CUSTOM MACHINED,J009979,,,,,1
NP2 MAN CAP REINFORCED,CUSTOM MACHINED,51017,,,,,1
M2.5x10 PHMS SS,PURCHASED,,,,MCMASTER,92000A106,1
SPACER,PURCHASED,,,,MCMASTER,92510A533,1
SIZE 10 O RING,PURCHASED,,,,MCMASTER,9452K18,1
FIBER COLLIMATOR,PURCHASED,,,,THORLABS,CFC2-A,1
M3x8 PHMS SS,PURCHASED,,,,MCMASTER,92000A118,2
8-32 x 5/8 L FHMS SS ,PURCHASED,,,,MCMASTER,91771A196,2
M4x12 SHCS SS,PURCHASED,,,,MCMASTER,91292A117,2
M1.6x10 SHCS SS,PURCHASED,,,,MCMASTER,92290A602,6
M1.6x3 SHCS SS,PURCHASED,,,,MCMASTER,92290A596,4
M1.6x5 SHCS SS,PURCHASED,,,,MCMASTER,91292A262,4
M2x10 SHCS SS,PURCHASED,,,,MCMASTER,91292A833,4
10-32x3/8 NYLON THUMB SCREW,PURCHASED,,,,MCMASTER,94323A727,1
10-32x1/4 SPRING PLUNGER,PURCHASED,,,,MCMASTER,8691A312,1
M8x40 CAPTIVE SCREW SS,PURCHASED,,,,MCMASTER,95966A713,1
WASHER PRECISION 14OD 8ID 2THK,PURCHASED,,,,MISUMI,WSSS14-8-2,1
CABLE TIE SMALL,PURCHASED,,,,,,3
M3-LS-3.4-15-XYZ with PoE,PURCHASED,,NEW SCALE,07510-3-0000,,,1
